Product,Customer_Price,Company_Share_Pct,Company_Gross,Maker_Share_Pct,Maker_Gross,Maker_Material_Cost,Maker_Electric_Cost,Maker_Packaging_Cost,Maker_Total_Cost,Maker_Net,Maker_Hours,Maker_Hourly_Rate,Company_Net,Company_Margin_Pct
Assembled Tower,110,30,33,70,77,10,1,3,14,63,8,7.88,17,51.5
Water System Replacement,15,30,4.5,70,10.5,2.23,0.23,0.5,2.96,7.54,2,3.77,2.5,55.6
Stage Array Replacement,18,30,5.4,70,12.6,3.78,0.38,1,5.16,7.44,2,3.72,3.2,59.3
Top Cap Replacement,18,30,5.4,70,12.6,2.7,0.3,0.8,3.8,8.8,2,4.4,3.5,64.8
Base Frame Replacement,25,30,7.5,70,17.5,4,0.4,1,5.4,12.1,2,6.05,4.9,65.3
Rebuild Kit,85,30,25.5,70,59.5,22.68,2,3,27.68,31.82,10,3.18,14.5,56.9
